Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
286.39	100.00	901.11	0.0011097	9.4469	9.9353	46.941	40.841	106.11	537.20	0.043975	9.3017e-05	0.10443	liquid
286.56	100.00	900.05	0.0011111	9.4646	9.9536	47.005	40.845	106.29	535.77	0.044419	9.2746e-05	0.10423	liquid
286.74	100.00	898.98	0.0011124	9.4824	9.9720	47.069	40.849	106.48	534.33	0.044867	9.2475e-05	0.10404	liquid
286.91	100.00	897.91	0.0011137	9.5002	9.9903	47.133	40.854	106.67	532.89	0.045318	9.2205e-05	0.10384	liquid
287.08	100.00	896.84	0.0011150	9.5180	10.009	47.197	40.858	106.87	531.45	0.045774	9.1935e-05	0.10364	liquid
287.25	100.00	895.76	0.0011164	9.5358	10.027	47.261	40.863	107.06	530.01	0.046234	9.1665e-05	0.10344	liquid
287.43	100.00	894.68	0.0011177	9.5537	10.046	47.325	40.868	107.26	528.56	0.046698	9.1395e-05	0.10324	liquid
287.60	100.00	893.60	0.0011191	9.5716	10.064	47.390	40.873	107.46	527.11	0.047167	9.1126e-05	0.10304	liquid
287.77	100.00	892.51	0.0011204	9.5896	10.083	47.454	40.878	107.66	525.66	0.047640	9.0856e-05	0.10284	liquid
287.94	100.00	891.41	0.0011218	9.6075	10.101	47.518	40.883	107.87	524.21	0.048117	9.0587e-05	0.10264	liquid
288.12	100.00	890.32	0.0011232	9.6255	10.120	47.583	40.889	108.07	522.75	0.048600	9.0318e-05	0.10244	liquid
288.29	100.00	889.22	0.0011246	9.6436	10.138	47.648	40.895	108.28	521.29	0.049086	9.0050e-05	0.10224	liquid
288.46	100.00	888.11	0.0011260	9.6616	10.157	47.713	40.901	108.49	519.83	0.049577	8.9781e-05	0.10204	liquid
288.63	100.00	887.00	0.0011274	9.6797	10.176	47.777	40.907	108.71	518.36	0.050073	8.9513e-05	0.10184	liquid
288.81	100.00	885.89	0.0011288	9.6979	10.195	47.842	40.913	108.92	516.89	0.050574	8.9245e-05	0.10164	liquid
288.98	100.00	884.77	0.0011302	9.7160	10.213	47.907	40.919	109.14	515.42	0.051080	8.8977e-05	0.10144	liquid
289.15	100.00	883.65	0.0011317	9.7342	10.232	47.973	40.926	109.37	513.94	0.051591	8.8709e-05	0.10124	liquid
289.32	100.00	882.53	0.0011331	9.7524	10.251	48.038	40.932	109.59	512.47	0.052106	8.8441e-05	0.10104	liquid
289.49	100.00	881.40	0.0011346	9.7707	10.270	48.103	40.939	109.82	510.99	0.052627	8.8174e-05	0.10083	liquid
289.67	100.00	880.26	0.0011360	9.7890	10.289	48.169	40.946	110.05	509.50	0.053153	8.7907e-05	0.10063	liquid
289.84	100.00	879.12	0.0011375	9.8074	10.308	48.234	40.954	110.28	508.02	0.053684	8.7639e-05	0.10043	liquid
290.01	100.00	877.98	0.0011390	9.8257	10.327	48.300	40.961	110.52	506.53	0.054220	8.7372e-05	0.10023	liquid
290.18	100.00	876.83	0.0011405	9.8441	10.346	48.365	40.969	110.75	505.03	0.054762	8.7105e-05	0.10003	liquid
290.36	100.00	875.68	0.0011420	9.8626	10.365	48.431	40.977	111.00	503.54	0.055309	8.6838e-05	0.099827	liquid
290.53	100.00	874.52	0.0011435	9.8811	10.384	48.497	40.985	111.24	502.04	0.055862	8.6572e-05	0.099625	liquid
290.70	100.00	873.36	0.0011450	9.8996	10.404	48.563	40.993	111.49	500.54	0.056421	8.6305e-05	0.099422	liquid
290.87	100.00	872.20	0.0011465	9.9182	10.423	48.629	41.002	111.74	499.03	0.056985	8.6039e-05	0.099220	liquid
291.05	100.00	871.02	0.0011481	9.9368	10.442	48.696	41.010	111.99	497.52	0.057555	8.5772e-05	0.099018	liquid
291.22	100.00	869.85	0.0011496	9.9554	10.461	48.762	41.019	112.25	496.01	0.058131	8.5506e-05	0.098815	liquid
291.39	100.00	868.67	0.0011512	9.9741	10.481	48.829	41.028	112.51	494.49	0.058713	8.5239e-05	0.098612	liquid
291.56	100.00	867.48	0.0011528	9.9928	10.500	48.895	41.038	112.78	492.98	0.059301	8.4973e-05	0.098409	liquid
291.74	100.00	866.29	0.0011543	10.012	10.520	48.962	41.047	113.04	491.45	0.059896	8.4707e-05	0.098206	liquid
291.91	100.00	865.09	0.0011559	10.030	10.539	49.029	41.057	113.31	489.93	0.060496	8.4441e-05	0.098002	liquid
292.08	100.00	863.89	0.0011576	10.049	10.559	49.096	41.067	113.59	488.40	0.061103	8.4175e-05	0.097798	liquid
292.25	100.00	862.68	0.0011592	10.068	10.578	49.163	41.077	113.87	486.87	0.061717	8.3909e-05	0.097595	liquid
292.42	100.00	861.47	0.0011608	10.087	10.598	49.230	41.087	114.15	485.34	0.062337	8.3643e-05	0.097391	liquid
292.60	100.00	860.26	0.0011624	10.106	10.618	49.297	41.098	114.44	483.80	0.062964	8.3377e-05	0.097186	liquid
292.77	100.00	859.03	0.0011641	10.125	10.637	49.365	41.109	114.73	482.26	0.063597	8.3111e-05	0.096982	liquid
292.94	100.00	857.80	0.0011658	10.144	10.657	49.432	41.120	115.02	480.71	0.064238	8.2845e-05	0.096777	liquid
293.11	100.00	856.57	0.0011674	10.163	10.677	49.500	41.131	115.32	479.16	0.064885	8.2579e-05	0.096573	liquid
293.29	100.00	855.33	0.0011691	10.182	10.697	49.568	41.143	115.62	477.61	0.065540	8.2313e-05	0.096368	liquid
293.46	100.00	854.08	0.0011708	10.202	10.717	49.636	41.155	115.93	476.05	0.066202	8.2047e-05	0.096162	liquid
293.63	100.00	852.83	0.0011726	10.221	10.737	49.704	41.167	116.24	474.50	0.066871	8.1780e-05	0.095957	liquid
293.80	100.00	851.57	0.0011743	10.240	10.757	49.772	41.179	116.55	472.93	0.067548	8.1514e-05	0.095751	liquid
293.98	100.00	850.31	0.0011760	10.259	10.777	49.841	41.192	116.87	471.37	0.068233	8.1248e-05	0.095546	liquid
294.15	100.00	849.04	0.0011778	10.279	10.797	49.909	41.204	117.19	469.80	0.068925	8.0982e-05	0.095339	liquid
294.32	100.00	847.77	0.0011796	10.298	10.817	49.978	41.217	117.52	468.23	0.069625	8.0716e-05	0.095133	liquid
294.49	100.00	846.48	0.0011814	10.318	10.838	50.047	41.231	117.86	466.65	0.070333	8.0449e-05	0.094927	liquid
294.67	100.00	845.19	0.0011832	10.337	10.858	50.116	41.244	118.19	465.07	0.071049	8.0183e-05	0.094720	liquid
294.84	100.00	843.90	0.0011850	10.357	10.878	50.185	41.258	118.54	463.48	0.071774	7.9916e-05	0.094513	liquid
295.01	100.00	842.60	0.0011868	10.377	10.899	50.255	41.272	118.88	461.90	0.072506	7.9650e-05	0.094306	liquid
295.18	100.00	841.29	0.0011886	10.396	10.919	50.324	41.286	119.24	460.31	0.073248	7.9383e-05	0.094098	liquid
295.35	100.00	839.98	0.0011905	10.416	10.940	50.394	41.301	119.60	458.71	0.073998	7.9116e-05	0.093891	liquid
295.53	100.00	838.65	0.0011924	10.436	10.961	50.464	41.315	119.96	457.11	0.074757	7.8849e-05	0.093683	liquid
295.70	100.00	837.33	0.0011943	10.456	10.981	50.534	41.330	120.33	455.51	0.075525	7.8582e-05	0.093475	liquid
295.87	100.00	835.99	0.0011962	10.476	11.002	50.604	41.346	120.70	453.90	0.076302	7.8314e-05	0.093266	liquid
296.04	100.00	834.65	0.0011981	10.496	11.023	50.675	41.361	121.08	452.29	0.077088	7.8047e-05	0.093057	liquid
296.22	100.00	833.30	0.0012001	10.516	11.044	50.745	41.377	121.47	450.68	0.077884	7.7779e-05	0.092849	liquid
296.39	100.00	831.94	0.0012020	10.536	11.065	50.816	41.393	121.86	449.06	0.078689	7.7511e-05	0.092639	liquid
296.56	100.00	830.58	0.0012040	10.556	11.086	50.887	41.409	122.25	447.44	0.079504	7.7243e-05	0.092430	liquid
296.73	100.00	829.21	0.0012060	10.576	11.107	50.958	41.426	122.66	445.82	0.080329	7.6975e-05	0.092220	liquid
296.91	100.00	827.83	0.0012080	10.597	11.128	51.029	41.443	123.07	444.19	0.081164	7.6706e-05	0.092010	liquid
297.08	100.00	826.44	0.0012100	10.617	11.149	51.101	41.460	123.48	442.56	0.082010	7.6438e-05	0.091800	liquid
297.25	100.00	825.04	0.0012121	10.637	11.171	51.173	41.477	123.90	440.92	0.082866	7.6169e-05	0.091590	liquid
297.42	100.00	823.64	0.0012141	10.658	11.192	51.245	41.495	124.33	439.28	0.083732	7.5899e-05	0.091379	liquid
297.59	100.00	822.23	0.0012162	10.678	11.214	51.317	41.513	124.77	437.64	0.084610	7.5630e-05	0.091168	liquid
297.77	100.00	820.81	0.0012183	10.699	11.235	51.389	41.531	125.21	435.99	0.085498	7.5360e-05	0.090957	liquid
297.94	100.00	819.38	0.0012204	10.720	11.257	51.462	41.550	125.66	434.34	0.086398	7.5090e-05	0.090745	liquid
298.11	100.00	817.95	0.0012226	10.740	11.278	51.534	41.568	126.11	432.68	0.087309	7.4820e-05	0.090533	liquid
298.28	100.00	816.50	0.0012247	10.761	11.300	51.607	41.588	126.58	431.02	0.088232	7.4549e-05	0.090321	liquid
298.46	100.00	815.05	0.0012269	10.782	11.322	51.681	41.607	127.05	429.36	0.089167	7.4278e-05	0.090109	liquid
298.63	100.00	813.58	0.0012291	10.803	11.344	51.754	41.627	127.52	427.69	0.090113	7.4007e-05	0.089896	liquid
298.80	100.00	812.11	0.0012314	10.824	11.366	51.828	41.646	128.01	426.02	0.091073	7.3735e-05	0.089683	liquid
298.97	100.00	810.63	0.0012336	10.845	11.388	51.902	41.667	128.50	424.34	0.092044	7.3463e-05	0.089469	liquid
299.15	100.00	809.14	0.0012359	10.866	11.410	51.976	41.687	129.01	422.66	0.093029	7.3190e-05	0.089256	liquid
299.32	100.00	807.64	0.0012382	10.888	11.433	52.050	41.708	129.51	420.98	0.094026	7.2918e-05	0.089042	liquid
299.49	100.00	806.13	0.0012405	10.909	11.455	52.125	41.729	130.03	419.29	0.095037	7.2644e-05	0.088828	liquid
299.66	100.00	804.61	0.0012428	10.930	11.477	52.200	41.751	130.56	417.60	0.096061	7.2371e-05	0.088613	liquid
299.84	100.00	803.09	0.0012452	10.952	11.500	52.275	41.772	131.10	415.90	0.097099	7.2097e-05	0.088399	liquid
300.01	100.00	801.55	0.0012476	10.974	11.523	52.351	41.795	131.64	414.20	0.098151	7.1822e-05	0.088183	liquid
300.18	100.00	800.00	0.0012500	10.995	11.545	52.427	41.817	132.19	412.50	0.099218	7.1547e-05	0.087968	liquid
300.35	100.00	798.44	0.0012524	11.017	11.568	52.503	41.840	132.76	410.79	0.10030	7.1272e-05	0.087752	liquid
300.52	100.00	796.87	0.0012549	11.039	11.591	52.579	41.863	133.33	409.08	0.10139	7.0996e-05	0.087536	liquid
300.70	100.00	795.29	0.0012574	11.061	11.614	52.656	41.886	133.91	407.36	0.10251	7.0720e-05	0.087320	liquid
300.87	100.00	793.69	0.0012599	11.083	11.637	52.732	41.910	134.51	405.64	0.10363	7.0443e-05	0.087104	liquid
301.04	100.00	792.09	0.0012625	11.105	11.660	52.810	41.934	135.11	403.91	0.10478	7.0165e-05	0.086887	liquid
301.21	100.00	790.48	0.0012651	11.127	11.684	52.887	41.959	135.73	402.18	0.10593	6.9887e-05	0.086669	liquid
301.39	100.00	788.85	0.0012677	11.149	11.707	52.965	41.984	136.35	400.45	0.10711	6.9609e-05	0.086452	liquid
301.56	100.00	787.21	0.0012703	11.172	11.731	53.043	42.009	136.99	398.71	0.10830	6.9330e-05	0.086234	liquid
301.73	100.00	785.56	0.0012730	11.194	11.754	53.122	42.034	137.64	396.97	0.10951	6.9050e-05	0.086016	liquid
301.90	100.00	783.90	0.0012757	11.217	11.778	53.200	42.061	138.30	395.22	0.11074	6.8769e-05	0.085798	liquid
302.08	100.00	782.23	0.0012784	11.240	11.802	53.279	42.087	138.97	393.47	0.11199	6.8488e-05	0.085579	liquid
302.25	100.00	780.54	0.0012812	11.262	11.826	53.359	42.114	139.66	391.71	0.11325	6.8207e-05	0.085360	liquid
302.42	100.00	778.84	0.0012840	11.285	11.850	53.439	42.141	140.36	389.95	0.11453	6.7924e-05	0.085141	liquid
302.59	100.00	777.13	0.0012868	11.308	11.875	53.519	42.169	141.07	388.18	0.11583	6.7641e-05	0.084922	liquid
302.77	100.00	775.40	0.0012897	11.331	11.899	53.599	42.197	141.80	386.41	0.11716	6.7358e-05	0.084702	liquid
302.94	100.00	773.66	0.0012926	11.355	11.923	53.680	42.226	142.54	384.64	0.11850	6.7073e-05	0.084482	liquid
303.11	100.00	771.90	0.0012955	11.378	11.948	53.762	42.255	143.30	382.86	0.11986	6.6788e-05	0.084262	liquid
303.28	100.00	770.14	0.0012985	11.401	11.973	53.843	42.284	144.07	381.07	0.12125	6.6502e-05	0.084041	liquid
303.45	100.00	768.35	0.0013015	11.425	11.998	53.925	42.314	144.86	379.29	0.12265	6.6215e-05	0.083821	liquid
303.63	100.00	766.56	0.0013045	11.449	12.023	54.008	42.345	145.67	377.49	0.12408	6.5928e-05	0.083600	liquid
303.80	100.00	764.74	0.0013076	11.472	12.048	54.091	42.376	146.49	375.69	0.12554	6.5639e-05	0.083378	liquid
303.97	100.00	762.92	0.0013108	11.496	12.073	54.174	42.408	147.33	373.89	0.12701	6.5350e-05	0.083157	liquid
304.14	100.00	761.07	0.0013139	11.520	12.099	54.258	42.440	148.19	372.08	0.12851	6.5060e-05	0.082935	supercritical
304.32	100.00	759.21	0.0013172	11.545	12.124	54.342	42.473	149.07	370.26	0.13004	6.4769e-05	0.082714	supercritical
304.49	100.00	757.34	0.0013204	11.569	12.150	54.427	42.506	149.97	368.44	0.13159	6.4477e-05	0.082492	supercritical
304.66	100.00	755.44	0.0013237	11.593	12.176	54.512	42.540	150.89	366.62	0.13316	6.4183e-05	0.082270	supercritical
304.83	100.00	753.53	0.0013271	11.618	12.202	54.597	42.575	151.83	364.79	0.13477	6.3889e-05	0.082047	supercritical
305.01	100.00	751.61	0.0013305	11.643	12.228	54.683	42.610	152.79	362.95	0.13640	6.3594e-05	0.081825	supercritical
305.18	100.00	749.66	0.0013339	11.668	12.255	54.770	42.646	153.78	361.11	0.13806	6.3298e-05	0.081602	supercritical
305.35	100.00	747.70	0.0013374	11.693	12.281	54.857	42.683	154.79	359.26	0.13974	6.3001e-05	0.081380	supercritical
305.52	100.00	745.72	0.0013410	11.718	12.308	54.945	42.720	155.83	357.41	0.14146	6.2703e-05	0.081157	supercritical
305.70	100.00	743.71	0.0013446	11.743	12.335	55.033	42.758	156.89	355.55	0.14321	6.2403e-05	0.080934	supercritical
305.87	100.00	741.69	0.0013483	11.769	12.362	55.122	42.797	157.98	353.68	0.14499	6.2102e-05	0.080712	supercritical
306.04	100.00	739.65	0.0013520	11.795	12.390	55.211	42.836	159.10	351.81	0.14681	6.1800e-05	0.080489	supercritical
306.21	100.00	737.59	0.0013558	11.820	12.417	55.301	42.877	160.24	349.93	0.14866	6.1497e-05	0.080266	supercritical
306.38	100.00	735.51	0.0013596	11.846	12.445	55.391	42.918	161.42	348.05	0.15054	6.1192e-05	0.080043	supercritical
306.56	100.00	733.40	0.0013635	11.873	12.473	55.483	42.960	162.63	346.16	0.15246	6.0886e-05	0.079821	supercritical
306.73	100.00	731.27	0.0013675	11.899	12.501	55.574	43.002	163.87	344.26	0.15441	6.0579e-05	0.079598	supercritical
306.90	100.00	729.12	0.0013715	11.926	12.529	55.667	43.046	165.15	342.36	0.15640	6.0270e-05	0.079376	supercritical
307.07	100.00	726.95	0.0013756	11.952	12.558	55.760	43.090	166.46	340.45	0.15843	5.9960e-05	0.079154	supercritical
307.25	100.00	724.75	0.0013798	11.979	12.587	55.854	43.136	167.81	338.54	0.16050	5.9648e-05	0.078932	supercritical
307.42	100.00	722.53	0.0013840	12.007	12.616	55.948	43.182	169.19	336.61	0.16262	5.9335e-05	0.078710	supercritical
307.59	100.00	720.28	0.0013883	12.034	12.645	56.043	43.229	170.62	334.68	0.16477	5.9020e-05	0.078489	supercritical
307.76	100.00	718.01	0.0013927	12.061	12.674	56.139	43.277	172.09	332.75	0.16697	5.8703e-05	0.078267	supercritical
307.94	100.00	715.71	0.0013972	12.089	12.704	56.236	43.326	173.60	330.81	0.16921	5.8385e-05	0.078047	supercritical
308.11	100.00	713.38	0.0014018	12.117	12.734	56.334	43.376	175.15	328.86	0.17150	5.8065e-05	0.077826	supercritical
308.28	100.00	711.02	0.0014064	12.146	12.765	56.432	43.427	176.76	326.90	0.17384	5.7743e-05	0.077607	supercritical
308.45	100.00	708.64	0.0014112	12.174	12.795	56.531	43.479	178.41	324.94	0.17622	5.7419e-05	0.077387	supercritical
308.63	100.00	706.22	0.0014160	12.203	12.826	56.631	43.532	180.11	322.97	0.17866	5.7093e-05	0.077169	supercritical
308.80	100.00	703.78	0.0014209	12.232	12.857	56.732	43.586	181.86	320.99	0.18114	5.6765e-05	0.076951	supercritical
308.97	100.00	701.30	0.0014259	12.261	12.889	56.834	43.641	183.66	319.01	0.18368	5.6435e-05	0.076733	supercritical
309.14	100.00	698.79	0.0014310	12.291	12.921	56.937	43.698	185.52	317.02	0.18628	5.6103e-05	0.076517	supercritical
309.31	100.00	696.24	0.0014363	12.321	12.953	57.041	43.755	187.44	315.03	0.18893	5.5769e-05	0.076301	supercritical
309.49	100.00	693.67	0.0014416	12.351	12.985	57.146	43.813	189.42	313.03	0.19164	5.5433e-05	0.076086	supercritical
309.66	100.00	691.05	0.0014471	12.381	13.018	57.252	43.872	191.45	311.02	0.19440	5.5094e-05	0.075872	supercritical
309.83	100.00	688.40	0.0014526	12.412	13.051	57.359	43.933	193.55	309.01	0.19723	5.4753e-05	0.075660	supercritical
310.00	100.00	685.71	0.0014583	12.443	13.085	57.468	43.994	195.72	307.00	0.20012	5.4410e-05	0.075448	supercritical
310.18	100.00	682.98	0.0014642	12.474	13.119	57.577	44.057	197.95	304.97	0.20308	5.4064e-05	0.075237	supercritical
310.35	100.00	680.22	0.0014701	12.506	13.153	57.688	44.121	200.25	302.95	0.20610	5.3715e-05	0.075028	supercritical
310.52	100.00	677.41	0.0014762	12.538	13.188	57.799	44.185	202.63	300.92	0.20919	5.3364e-05	0.074820	supercritical
310.69	100.00	674.56	0.0014824	12.570	13.223	57.912	44.251	205.07	298.88	0.21234	5.3010e-05	0.074614	supercritical
310.87	100.00	671.67	0.0014888	12.603	13.258	58.027	44.318	207.59	296.85	0.21557	5.2654e-05	0.074409	supercritical
311.04	100.00	668.73	0.0014954	12.636	13.294	58.143	44.386	210.19	294.81	0.21888	5.2295e-05	0.074205	supercritical
311.21	100.00	665.74	0.0015021	12.670	13.331	58.260	44.455	212.87	292.77	0.22225	5.1933e-05	0.074003	supercritical
311.38	100.00	662.71	0.0015089	12.704	13.368	58.378	44.525	215.63	290.72	0.22571	5.1568e-05	0.073803	supercritical
311.56	100.00	659.63	0.0015160	12.738	13.405	58.499	44.595	218.47	288.68	0.22924	5.1200e-05	0.073605	supercritical
311.73	100.00	656.50	0.0015232	12.773	13.443	58.620	44.667	221.40	286.64	0.23285	5.0829e-05	0.073409	supercritical
311.90	100.00	653.32	0.0015306	12.808	13.481	58.743	44.740	224.41	284.59	0.23654	5.0456e-05	0.073214	supercritical
312.07	100.00	650.09	0.0015382	12.843	13.520	58.868	44.814	227.51	282.55	0.24032	5.0079e-05	0.073022	supercritical
312.24	100.00	646.81	0.0015461	12.880	13.560	58.995	44.888	230.70	280.51	0.24419	4.9699e-05	0.072831	supercritical
312.42	100.00	643.47	0.0015541	12.916	13.600	59.123	44.963	233.98	278.48	0.24814	4.9316e-05	0.072643	supercritical
312.59	100.00	640.07	0.0015623	12.953	13.641	59.253	45.039	237.35	276.45	0.25218	4.8930e-05	0.072457	supercritical
312.76	100.00	636.62	0.0015708	12.990	13.682	59.385	45.116	240.82	274.42	0.25631	4.8541e-05	0.072273	supercritical
312.93	100.00	633.10	0.0015795	13.028	13.724	59.518	45.194	244.38	272.41	0.26053	4.8148e-05	0.072091	supercritical
313.11	100.00	629.53	0.0015885	13.067	13.766	59.654	45.272	248.04	270.40	0.26485	4.7753e-05	0.071912	supercritical
313.28	100.00	625.90	0.0015977	13.106	13.809	59.791	45.351	251.79	268.40	0.26926	4.7354e-05	0.071735	supercritical
313.45	100.00	622.20	0.0016072	13.146	13.853	59.931	45.431	255.64	266.42	0.27377	4.6952e-05	0.071560	supercritical
313.62	100.00	618.44	0.0016170	13.186	13.897	60.073	45.511	259.59	264.45	0.27838	4.6548e-05	0.071388	supercritical
313.80	100.00	614.62	0.0016270	13.226	13.942	60.216	45.592	263.64	262.49	0.28309	4.6140e-05	0.071218	supercritical
313.97	100.00	610.73	0.0016374	13.267	13.988	60.362	45.673	267.80	260.55	0.28789	4.5729e-05	0.071050	supercritical
314.14	100.00	606.77	0.0016481	13.309	14.035	60.510	45.754	272.05	258.63	0.29280	4.5315e-05	0.070884	supercritical
314.31	100.00	602.75	0.0016591	13.352	14.082	60.661	45.835	276.40	256.74	0.29782	4.4898e-05	0.070721	supercritical
314.48	100.00	598.66	0.0016704	13.395	14.130	60.813	45.915	280.86	254.86	0.30294	4.4479e-05	0.070560	supercritical
314.66	100.00	594.50	0.0016821	13.438	14.179	60.969	45.995	285.40	253.01	0.30817	4.4057e-05	0.070401	supercritical
314.83	100.00	590.27	0.0016941	13.483	14.228	61.126	46.074	290.04	251.19	0.31350	4.3632e-05	0.070244	supercritical
315.00	100.00	585.97	0.0017066	13.528	14.279	61.286	46.152	294.75	249.40	0.31894	4.3205e-05	0.070088	supercritical
315.17	100.00	581.61	0.0017194	13.573	14.330	61.449	46.228	299.53	247.63	0.32449	4.2776e-05	0.069932	supercritical
315.35	100.00	577.17	0.0017326	13.619	14.382	61.614	46.302	304.35	245.90	0.33014	4.2345e-05	0.069776	supercritical
315.52	100.00	572.66	0.0017462	13.666	14.435	61.781	46.373	309.18	244.21	0.33589	4.1912e-05	0.069620	supercritical
315.69	100.00	568.09	0.0017603	13.714	14.488	61.951	46.441	313.99	242.56	0.34174	4.1477e-05	0.069460	supercritical
315.86	100.00	563.45	0.0017748	13.762	14.543	62.124	46.506	318.75	240.94	0.34768	4.1042e-05	0.069297	supercritical
316.04	100.00	558.75	0.0017897	13.811	14.598	62.299	46.567	323.41	239.38	0.35370	4.0606e-05	0.069128	supercritical
316.21	100.00	553.99	0.0018051	13.860	14.654	62.477	46.623	327.92	237.85	0.35979	4.0169e-05	0.068952	supercritical
316.38	100.00	549.18	0.0018209	13.910	14.711	62.657	46.674	332.24	236.38	0.36595	3.9733e-05	0.068768	supercritical
316.55	100.00	544.32	0.0018372	13.960	14.769	62.839	46.721	336.30	234.96	0.37215	3.9298e-05	0.068573	supercritical
316.73	100.00	539.41	0.0018539	14.011	14.827	63.023	46.762	340.07	233.60	0.37840	3.8865e-05	0.068366	supercritical
316.90	100.00	534.47	0.0018710	14.063	14.886	63.209	46.798	343.50	232.30	0.38467	3.8434e-05	0.068146	supercritical
317.07	100.00	529.51	0.0018886	14.115	14.946	63.396	46.829	346.54	231.06	0.39095	3.8006e-05	0.067912	supercritical
317.24	100.00	524.52	0.0019065	14.167	15.006	63.585	46.853	349.18	229.88	0.39724	3.7581e-05	0.067663	supercritical
317.41	100.00	519.52	0.0019249	14.219	15.066	63.776	46.872	351.38	228.76	0.40351	3.7162e-05	0.067398	supercritical
317.59	100.00	514.51	0.0019436	14.271	15.127	63.967	46.886	353.13	227.72	0.40975	3.6747e-05	0.067119	supercritical
317.76	100.00	509.52	0.0019626	14.324	15.188	64.159	46.894	354.42	226.73	0.41596	3.6338e-05	0.066823	supercritical
317.93	100.00	504.53	0.0019820	14.377	15.249	64.351	46.896	355.25	225.81	0.42212	3.5936e-05	0.066513	supercritical
318.10	100.00	499.57	0.0020017	14.429	15.310	64.544	46.893	355.63	224.96	0.42823	3.5541e-05	0.066189	supercritical
318.28	100.00	494.63	0.0020217	14.482	15.371	64.737	46.884	355.57	224.17	0.43427	3.5153e-05	0.065851	supercritical
318.45	100.00	489.74	0.0020419	14.534	15.433	64.929	46.871	355.07	223.44	0.44025	3.4773e-05	0.065500	supercritical
318.62	100.00	484.89	0.0020623	14.586	15.494	65.121	46.852	354.16	222.77	0.44615	3.4402e-05	0.065137	supercritical
318.79	100.00	480.08	0.0020830	14.638	15.555	65.312	46.829	352.86	222.16	0.45196	3.4039e-05	0.064762	supercritical
318.97	100.00	475.34	0.0021038	14.690	15.615	65.502	46.801	351.19	221.60	0.45769	3.3686e-05	0.064378	supercritical
319.14	100.00	470.65	0.0021247	14.741	15.676	65.691	46.769	349.18	221.09	0.46333	3.3341e-05	0.063984	supercritical
319.31	100.00	466.04	0.0021458	14.791	15.736	65.879	46.732	346.94	220.62	0.46890	3.3006e-05	0.063585	supercritical
319.48	100.00	461.48	0.0021669	14.842	15.795	66.066	46.691	344.51	220.19	0.47442	3.2680e-05	0.063184	supercritical
319.66	100.00	457.01	0.0021882	14.891	15.854	66.251	46.647	341.75	219.80	0.47984	3.2363e-05	0.062773	supercritical
319.83	100.00	452.60	0.0022094	14.941	15.913	66.434	46.599	338.65	219.45	0.48514	3.2056e-05	0.062353	supercritical
320.00	100.00	448.28	0.0022308	14.989	15.971	66.616	46.548	335.24	219.14	0.49031	3.1758e-05	0.061924	supercritical
